idUd;anno;dd_numero;importo_oggetto;classe;ha_tabella_hdr
2574005;2023;DD 1297/2023;33516.62;senza_impegno;0
2577035;2023;DD 1302/2023;100836.6;senza_impegno;0
2575350;2023;DD 1301/2023;463.58;impegno_perso;0
2577075;2023;DD 1298/2023;2000.0;senza_impegno;0
2577306;2023;DD 1285/2023;;senza_impegno;0
2574179;2023;DD 1281/2023;784.46;impegno_perso;1
2575485;2023;DD 1276/2023;7100.0;senza_impegno;0
2576960;2023;DD 1268/2023;;senza_impegno;0
2577026;2023;DD 1267/2023;;senza_impegno;0
2573764;2023;DD 1266/2023;;impegno_perso;0
2577098;2023;DD 1265/2023;;senza_impegno;0
2577090;2023;DD 1261/2023;;senza_impegno;0
2576973;2023;DD 1260/2023;;senza_impegno;0
2576943;2023;DD 1253/2023;12000.0;impegno_perso;0
2573715;2023;DD 1237/2023;;impegno_perso;0
2574431;2023;DD 1236/2023;;senza_impegno;0
2576774;2023;DD 1235/2023;;senza_impegno;0
2576919;2023;DD 1232/2023;;senza_impegno;0
2576888;2023;DD 1231/2023;;senza_impegno;0
2575166;2023;DD 1230/2023;;impegno_perso;0
2574511;2023;DD 1217/2023;;impegno_perso;0
2576113;2023;DD 1211/2023;;senza_impegno;0
2576422;2023;DD 1205/2023;;impegno_perso;0
2573377;2023;DD 1203/2023;;impegno_perso;0
2573983;2023;DD 1202/2023;12000.0;impegno_perso;1
2575440;2023;DD 1201/2023;46000.0;senza_impegno;0
2571857;2023;DD 1199/2023;114082.2;senza_impegno;0
2572892;2023;DD 1194/2023;9298.8;impegno_perso;0
2575176;2023;DD 1192/2023;;impegno_perso;0
2575353;2023;DD 1185/2023;;impegno_perso;0
2575363;2023;DD 1184/2023;;senza_impegno;0
2575365;2023;DD 1183/2023;;impegno_perso;0
2575370;2023;DD 1182/2023;;impegno_perso;0
2576237;2023;DD 1181/2023;289000.0;impegno_perso;0
2576138;2023;DD 1170/2023;154559.41;senza_impegno;0
2575468;2023;DD 1169/2023;;impegno_perso;0
2575414;2023;DD 1168/2023;;senza_impegno;0
2572001;2023;DD 1166/2023;40000.0;senza_impegno;0
2573577;2023;DD 1161/2023;303.0;impegno_perso;1
2575427;2023;DD 1157/2023;;senza_impegno;0
2575525;2023;DD 1153/2023;;senza_impegno;0
