idUd;dd_numero;data_atto;cig;n_cig;importo_oggetto_max;oggetto;idPubblicazione;idDocPrimario;nroAllegati
2665209;DD 883/2025;Feb 13, 2025, 12:00:00 AM;B54DB3F8A0;1;;S.062 - M.S. STADIO OLIMPICO, BIL. 2023, CUP C18H20000240004, - C.O. 4889, CPV 45212290-5, RDO 50002248 - AFFIDAM. INC. PROF. ESTERNO A ING: FABIO MANZONE IMP. SPESA 29.943,68 AL LORDO RITENUTE DI LEGGE, INARCASSA E IVA COMPRESE, CIG B54DB3F8A0 - APPR. NUOVO Q.E. E CRONOPROGRAMMA FINANZIARIO. MUTUO CASSA DDPP 2462.;2665209;3524243;
2663069;DD 916/2025;Feb 14, 2025, 12:00:00 AM;;0;3517.56;PROGETTO EUROPEI VARI. CUP VARI. VARIAZIONE IN MENO DELL'ENTRATA PER UN IMPORTO COMPLESSIVO DI EURO 0,41  ED ECONOMIE DI SPESA PER EURO 3.517,56 BILANCIO 2024 (EX ART. 179 D. LGS. 267/2000 TUEL). DEBITORI VARI.;2663069;3521451;
2663024;DD 915/2025;Feb 14, 2025, 12:00:00 AM;;0;10000000.0;SERV. /034. LINEA 2 DELLA METROPOLITANA AUTOMATICA DI TORINO. IMPEGNO DI SPESA EURO 10.000.000,00. A FAVORE DEL COMMISSARIO STRAORDINARIO PER QUOTA ANTICIPAZIONE SULLE RISORSE ASSEGNATE. FINANZIAMENTO CONTRIBUTO MINISTERIALE AI SENSI DELLA LEGGE 160/2019. (CUP C71F20000020005).;2663024;3521389;
2665202;DD 910/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO GRATUITO, SALONE 1 DI VIA DE SANCTIS 12 FAVORE DI ASSOCIAZIONE LA CASA DEL MIGRANTE; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2665202;3524234;
2665196;DD 897/2025;Feb 14, 2025, 12:00:00 AM;;0;;OGGETTO: C. 3 - ASSEGNAZIONE, A TITOLO GRATUITO, LOCALE CIRCOSCRIZIONALE EX INFORMA 3 SITO IN CORSO PESCHIERA 193,  A FAVORE DELL'ASSOCIAZIONE ILLARY HERMANAS HAY MUCHO QUE HACER. APPROVAZIONE. SCHEMA DI CONVENZIONE IN ESECUZIONE DELIBERAZIONE DELCI3 69 DEL 19/12/2024;2665196;3524222;
2665206;DD 899/2025;Feb 14, 2025, 12:00:00 AM;;0;;OGGETTO: C. 3 - ASSEGNAZIONE, A TITOLO GRATUITO, LOCALE CIRCOSCRIZIONALE EX INFORMA 3 SITO IN CORSO PESCHIERA 193, A FAVORE DELL'ASSOCIAZIONE GRUPPO ARCO S.C.S. APPROVAZIONE. SCHEMA DI CONVENZIONE IN ESECUZIONE DELIBERAZIONE DELCI3 69 DEL 19/12/2024;2665206;3524240;
2665207;DD 896/2025;Feb 14, 2025, 12:00:00 AM;;0;;C.3 - CONCESSIONE PER PERIODO RICORRENTE A TITOLO ONEROSO, SALONE 2 DI VIA DE SANCTIS 12, A FAVORE DI LAPOLISMILE SSD. APPROVAZIONE AI SENSI DEL REGOLAMENTO 186. ;2665207;3524241;
2663029;DD 909/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO GRATUITO, UFFICIO 6 VIA DELL'ONGARO 2  FAVORE DI ASSOCIAZIONE MISSIONE AUTISMO TORINO ODV; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2663029;3521398;
2665200;DD 908/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO GRATUITO, SALONE 1 DI VIA DE SANCTIS 12  FAVORE DI A.S.D. POLISPORTIVA U.I.C.I. TORINO A.P.S.; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2665200;3524230;
2663045;DD 914/2025;Feb 14, 2025, 12:00:00 AM;;0;531.3;ACCERTAMENTO DELL'ENTRATA DI EURO 531,30 RELATIVA ALLA LITE N. 538/2024 IT;2663045;3521419;
