dd_numero;capitolo;anno_imp;importo;missione;missione_nome;programma;macro;denominazione;match
DD 1573/2025;098700011001;2025;5.317,00;14;Sviluppo economico e competitività;2;3;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - ATTIVITA' DI PROMOZIONE DEL COMMERCIO - SETT. 134;exact
DD 1574/2025;078300001001;2025;48.806,45;09;Sviluppo sostenibile e tutela del territorio e dell'ambiente;2;3;VERDE PUBBLICO - ACQUISTO DI MATERIALI - MATERIALI VARI - settore 046;exact
DD 1739/2025;054200001006;2025;32.159,20;06;Politiche giovanili, sport e tempo libero;1;3;SPORT E TEMPO LIBERO - SPESE GENERALI - MANUTENZIONE E PULIZIA LOCALI - settore 062 - S.R.E. IVA;exact
DD 1771/2025;098700013003;2025;25.000,00;14;Sviluppo economico e competitività;2;3;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - SPAZI PUBLICITARI TV RADIO WEB CARTA STAMPATA - SETT. 134;exact
DD 1771/2025;098700011001;2025;3.060,00;14;Sviluppo economico e competitività;2;3;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - ATTIVITA' DI PROMOZIONE DEL COMMERCIO - SETT. 134;exact
DD 1772/2025;122900009001;2025;7.612,80;03;Ordine pubblico e sicurezza;2;2;POLIZIA MUNICIPALE - ACQUISTI - ATTREZZ.TECN.HARDWARE PER RETI DI RADIOCOMUNICAZIONE - SISTEMI DI TELECOMUNICAZIONE E SICUREZZA - VEDASI CAP. 37450022 E - settore 48;exact
DD 1773/2025;122900009003;2025;19.520,00;03;Ordine pubblico e sicurezza;2;2;APP. AVANZO TRASFERIMENTI - POLIZIA MUNICIPALE - ACQUISTI - ATTREZZ. TECN.HARDWARE PER RETI DI RADIOCOMUNICAZIONE - SISTEMI DI TELECOMUNICAZIONE E SICUREZZA - VEDASI CAP. 37450022 E - settore 48;exact
DD 1776/2025;020100006001;2025;24.960,80;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 1776/2025;020100006001;2026;36.332,40;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 1776/2025;020100006001;2027;36.332,40;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 1776/2025;020100006001;2028;36.332,40;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 1776/2025;020100006001;2029;36.332,40;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 1810/2025;068620008001;2025;642.054,17;08;Assetto del territorio ed edilizia abitativa;1;3;EDILIZIA - PRESTAZIONI DI SERVIZI - ATTIVITA' DI MANTENIMENTO ED AGGIORNAMENTO DEL SISTEMA INFORMATIVO TERRITORIALE (SIT) - settore 020;exact
DD 1867/2025;075700006001;2026;82.350,00;09;Sviluppo sostenibile e tutela del territorio e dell'ambiente;5;3;TUTELA ANIMALI - ACQUISTO DI SERVIZI - TUTELA ANIMALI IN CITTA' - settore 110;exact
DD 1867/2025;075700006001;2027;20.587,50;09;Sviluppo sostenibile e tutela del territorio e dell'ambiente;5;3;TUTELA ANIMALI - ACQUISTO DI SERVIZI - TUTELA ANIMALI IN CITTA' - settore 110;exact
DD 1867/2025;075700006001;2027;270,00;09;Sviluppo sostenibile e tutela del territorio e dell'ambiente;5;3;TUTELA ANIMALI - ACQUISTO DI SERVIZI - TUTELA ANIMALI IN CITTA' - settore 110;exact
DD 1880/2025;002610001001;2025;7.856,80;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - CARTA CANCELLERIA E STAMPATI - settore 005;exact
DD 1888/2025;108500002005;2025;6.100,00;01;Servizi istituzionali, generali e di gestione;1;2;APP. AVANZO MUTUI - ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030;exact
DD 1888/2025;108500002005;2025;1.564,30;01;Servizi istituzionali, generali e di gestione;1;2;APP. AVANZO MUTUI - ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030;exact
DD 1893/2025;144500001006;2025;15.131,04;08;Assetto del territorio ed edilizia abitativa;1;2;ATTUAZIONE LEGGI NN. 167/62-865/71-10/77-457/78 - OPERE DI URB. PRIM. E SEC. RESTAURI DEL PATRIMONIO COM.LE E RISANAMENTO DI COMPLESSI EDILIZI - VEDANSI CAPP. 36200001/002/003/004/005/006 E - sett 030;exact
DD 2000/2025;002610005001;2025;5.000,00;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - ACQUISTO MATERIALI DI CONSUMO - MATERIALE VARIO - settore 005;exact
DD 2072/2025;086300010004;2025;7.500,00;12;Diritti sociali, politiche sociali e famiglia;1;3;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI MINORI A RISCHIO - FORMAZIONE - VEDASI CAP. 4850000 ENTRATA - settore 019;exact
DD 2073/2025;086300008009;2025;20.000,00;12;Diritti sociali, politiche sociali e famiglia;4;3;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI STRANIERI E NOMADI - FORMAZIONE - VEDASI CAP. 6570000- ENTRATA - settore 019;exact
DD 2074/2025;086300008009;2025;20.000,00;12;Diritti sociali, politiche sociali e famiglia;4;3;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI STRANIERI E NOMADI - FORMAZIONE - VEDASI CAP. 6570000- ENTRATA - settore 019;exact
DD 2080/2025;157900002001;2025;5.000,00;12;Diritti sociali, politiche sociali e famiglia;7;2;SCUOLE MATERNE - ACQUISTO ATTREZZATURE PER ALUNNI DISABILI - set. 005;exact
DD 2080/2025;130700003001;2025;674,38;04;Istruzione e diritto allo studio;6;2;DIREZIONE ISTRUZIONE - ACQUISTI - MATERIALI DIVERSI - settore 005;exact
DD 2083/2025;020100006001;2025;5.893,42;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 2083/2025;020100006001;2026;29.993,83;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 2083/2025;020100006001;2027;29.993,83;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
