cig;dd_numeri;capitoli;missioni;denominazioni_capitoli
B60CFD8802;DD 2083/2025;020100006001;01;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055
B639EBB67F;DD 3476/2025|DD 4388/2025;;;
B5E96C9DE3;DD 1573/2025;098700001004|098700011001;14;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - ATTIVITA' DI PROMOZIONE DEL COMMERCIO - SETT. 134 || DA AVANZO - COMMERCIO E ATTIVITA' PRODUTTIVE - ACQUISTO DI SERVIZI - GESTIONE E SISTEMAZIONE AREE MERCATALI - MANUT. E GESTIONE ATTREZZATURE DIVERSE E SERVIZI DIVERSI PER IL COMMERCIO - sett 016
B627DC3F8F;DD 2073/2025;086300008009;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI STRANIERI E NOMADI - FORMAZIONE - VEDASI CAP. 6570000- ENTRATA - settore 019
B627AEA5FB;DD 2074/2025;086300008009;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI STRANIERI E NOMADI - FORMAZIONE - VEDASI CAP. 6570000- ENTRATA - settore 019
B61180795C;DD 1807/2025;;;
B620AFA64D;DD 2000/2025|DD 3950/2025;002610005001;01;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - ACQUISTO MATERIALI DI CONSUMO - MATERIALE VARIO - settore 005
B5EE5DAD4A;DD 1772/2025;122900009001;03;POLIZIA MUNICIPALE - ACQUISTI - ATTREZZ.TECN.HARDWARE PER RETI DI RADIOCOMUNICAZIONE - SISTEMI DI TELECOMUNICAZIONE E SICUREZZA - VEDASI CAP. 37450022 E - settore 48
B6030C4182;DD 1867/2025|DD 7549/2025;075700006001;09;TUTELA ANIMALI - ACQUISTO DI SERVIZI - TUTELA ANIMALI IN CITTA' - settore 110
B638B2F511;DD 2545/2025;;;
B6314998D9;DD 3427/2025|DD 3285/2025;;;
B63A155C17;DD 2072/2025;086300010004;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI MINORI A RISCHIO - FORMAZIONE - VEDASI CAP. 4850000 ENTRATA - settore 019
B60B07A572;DD 1739/2025;054200001006;06;SPORT E TEMPO LIBERO - SPESE GENERALI - MANUTENZIONE E PULIZIA LOCALI - settore 062 - S.R.E. IVA
B59966621D;DD 1085/2025;118630008004;01;SISTEMI INFORMATIVI - PN METRO PLUS - CONDIVISIONE TRASPARENZA E GOVERNO DATI -TO1.1.2.1.D - VEDASI CAP.032500002001 ENTRATA - SETT.27
B5F5E4C253;DD 2406/2025;163700007002;14;INNOVAZIONE FONDI EUROPEI- PROGETTO 5G4LIVES ATTREZZATURE - VEDASI CAP. 035300018 - sett.028
B60E22A652;DD 1880/2025;002610001001;01;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - CARTA CANCELLERIA E STAMPATI - settore 005
B6219332F4;DD 3167/2025|DD 4508/2025|DD 4242/2025|DD 7066/2025|DD 6746/2025|DD 8021/2025|DD 8728/2025;140800004001;10;SUOLO E PARCHEGGI- POC METRO - PEDONALIZZAZIONE E RIQUALIFICAZIONE DELLA VIA COAZZE COMPRESA TRA VIA ALMESE E VIA SAFFI - VEDASI CAP. 032500010 ENTRATA - sett. 033
